,CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Target
0,768805383,0.4042553191489361,1,3,3,1,2,0,0.6046511627906976,5,1,3,0.7768153454193047,0.30870083432657924,0.8701486978824586,0.6268921901529576,0.2698467533198574,0.248062015503876,0.6614632691503818,0.061061061061061066,0
1,818770008,0.4893617021276596,0,5,2,2,4,0,0.7209302325581396,6,1,2,0.6593454593141495,0.3432657926102503,0.8133402798537535,0.6735247291591686,0.3077085028702178,0.17829457364341086,1.0,0.10510510510510511,0
2,713982108,0.5319148936170212,1,3,2,1,3,0,0.5348837209302325,4,1,0,0.3678120273890766,0.0,0.7234010553951408,0.8738506476346541,0.42258174933742465,0.07751937984496124,0.7925677919902985,0.0,0
3,769911858,0.2978723404255319,0,4,3,3,4,0,0.4883720930232558,3,4,1,0.3560823615989541,1.0,0.559588199324453,0.6431175907265432,0.27720195205633713,0.07751937984496124,0.7925677919902985,0.7607607607607608,0
4,709106358,0.2978723404255319,1,3,5,1,2,0,0.18604651162790697,5,1,0,0.48287920895110226,0.0,0.7606584547236283,0.8001692490970088,0.1606254529683553,0.13953488372093023,0.8204442102957776,0.0,0
5,713061558,0.3829787234042553,1,2,2,1,1,0,0.5348837209302325,3,1,2,0.4262413642831451,0.4954310687326182,0.6989941176344313,0.636445827340584,0.25394142428953215,0.10852713178294573,0.4772701046861626,0.31131131131131135,0
6,810347208,0.5319148936170212,1,4,6,1,0,1,0.7674418604651162,6,1,3,1.0,0.8994835121176004,0.9915818998879868,0.7624928516630234,0.31693380989346753,0.1627906976744186,0.4409076651608935,0.06606606606606608,0
7,818906208,0.12765957446808507,1,0,3,3,2,3,0.32558139534883723,2,2,2,0.9661874701432218,0.5546285260230434,0.972704401288395,0.8054860467836449,0.36143569592702285,0.20155038759689922,0.43845815917891806,0.048048048048048055,0
8,710930508,0.23404255319148937,1,3,5,2,2,0,0.5348837209302325,5,2,0,0.9108981982546478,1.0,0.9318076330894864,0.9937988476264777,0.32154613552888023,0.10852713178294573,0.5641411617705955,0.11311311311311313,0
9,719661558,0.4680851063829786,1,2,2,2,3,0,0.5348837209302325,6,3,3,0.7547098959988716,0.66626936829559,0.8489511676738172,0.6697993319853747,0.34159363722002034,0.17054263565891473,0.4873189983357244,0.14414414414414414,0
10,708790833,0.34042553191489355,1,5,5,3,0,0,0.41860465116279066,5,3,2,0.59903249495963,0.5828367103694875,0.7738489022878015,0.4945984357024923,0.2851514540597275,0.248062015503876,0.42789134952758573,0.21721721721721723,0
11,710821833,0.8297872340425531,1,1,6,1,1,0,0.9534883720930233,6,2,3,0.6870688274013492,0.6305125148986889,0.8151794299998251,0.6494942666973822,0.31318677690110475,0.12403100775193798,0.6060189930395,0.1741741741741742,0
12,710599683,0.6382978723404255,1,1,0,2,3,0,0.5348837209302325,3,6,0,0.7568425267842045,0.0,0.8684966262883147,1.0,0.36163277409254313,0.05426356589147288,0.9354503262441147,0.0,0
13,816082233,0.1914893617021276,1,3,2,3,2,0,0.39534883720930236,5,1,3,0.6693566595949445,0.6618990862137465,0.8048912731630652,0.5851161480273527,0.3124784309995725,0.17829457364341086,0.7338276103869967,0.1951951951951952,0
14,712396908,0.6595744680851062,0,2,2,1,4,0,0.813953488372093,5,2,2,0.23467842839176178,0.2701628923321414,0.6475563948170519,0.5918691546798222,0.3676709622505081,0.14728682170542637,0.405601596174869,0.2792792792792793,0
15,714885258,0.3829787234042553,1,4,6,3,3,0,0.5581395348837209,5,1,2,0.44552010571018563,0.38617401668653156,0.7180269228738255,0.7088739012197013,0.32108841185689174,0.1317829457364341,0.676555627795192,0.23023023023023026,0
16,709967358,0.4680851063829786,1,4,4,2,3,0,0.5348837209302325,6,2,3,0.9748846492454675,0.9384187524831148,0.9741219406106945,0.7090815081654964,0.3864415768444305,0.1317829457364341,0.5001346076212299,0.07807807807807808,0
17,753327333,0.31914893617021267,1,3,6,1,3,0,0.4883720930232558,4,4,1,0.7931898900245287,0.512912197059992,0.873427492573728,0.4384386352228205,0.23583210265917876,0.08527131782945738,0.6614632691503818,0.0950950950950951,0
18,806160108,0.7446808510638298,1,1,3,1,1,0,1.0,2,2,3,0.34207655269105075,1.0,0.5417033411998539,0.7341696019419905,0.31832574733874575,0.15503875968992248,0.5547562010914655,0.7887887887887889,0
19,709327383,0.4042553191489361,0,2,2,1,5,0,0.5581395348837209,6,1,2,0.8098607595189264,0.4596742153357171,0.8834909710831444,0.5332621873849243,0.28671424744966156,0.08527131782945738,0.494721736052479,0.0800800800800801,0
20,806165208,0.44680851063829785,1,1,1,0,2,0,0.6744186046511628,5,2,0,0.8969428867752072,0.7151370679380215,0.9277074813772317,0.5164357820538538,0.2790773940577158,0.1317829457364341,0.5001346076212299,0.08608608608608609,0
21,708508758,0.7659574468085105,0,0,2,1,4,0,0.8372093023255814,2,3,3,0.0,0.0,0.6251504492616313,0.5551694599234318,0.10547271172324724,0.046511627906976744,0.4019339355290704,0.0,1
22,784725333,0.31914893617021267,1,3,3,1,1,0,0.4651162790697675,4,2,1,0.46446022237119067,0.2701628923321414,0.7353152977179396,0.6880107891891115,0.20385066727101187,0.06201550387596899,0.6503799477746993,0.15215215215215216,0
23,811604133,0.44680851063829785,0,4,6,2,4,0,0.5348837209302325,3,3,2,0.2440237206671405,0.6197854588796186,0.5769435582043233,0.41070457205970423,0.26483271534674824,0.1007751937984496,0.30829494441484134,0.6266266266266267,0
24,789124683,0.5957446808510637,1,2,6,1,3,0,0.6744186046511628,4,2,3,0.7669912697114523,0.0,0.8731624575819231,0.562543950463012,0.2602986447323774,0.08527131782945738,0.4493758011535096,0.0,0
25,771071958,0.31914893617021267,0,3,2,2,4,0,0.34883720930232565,6,1,2,0.6414933777069507,0.6630909813269765,0.7907072141645651,0.48437462906060424,0.24291275609081087,0.09302325581395349,0.47358893945663433,0.21521521521521522,0
26,720466383,0.702127659574468,1,1,3,3,1,0,0.7674418604651162,4,1,2,0.815150888385956,0.5458879618593564,0.8843650776310871,0.520693362606842,0.2841046497284796,0.1007751937984496,0.5916307337757973,0.0930930930930931,0
27,804424383,0.7872340425531915,1,1,6,1,2,0,1.0,3,3,2,0.7193321462045006,0.40127135478744536,0.8393356928564061,0.49815674370738783,0.42522417994269013,0.23255813953488372,0.5188944795265651,0.09909909909909911,0
28,718813833,0.3829787234042553,0,3,5,2,5,0,0.4883720930232558,5,2,2,0.7162339496702703,0.0,0.8503887867425736,0.3931261002573627,0.2432166022928577,0.06201550387596899,0.6503799477746993,0.0,0
29,806624208,0.44680851063829785,1,4,3,1,1,0,0.6744186046511628,6,0,0,0.48782443315448454,0.5411203814064363,0.7235693520857239,0.4664170800391555,0.2410827456905449,0.21705426356589144,0.4922665261774666,0.2852852852852853,0
30,778348233,0.5744680851063829,1,3,6,1,3,0,0.4651162790697675,3,2,3,0.2842665685341057,0.7195073500198649,0.578121097332714,0.536289764776966,0.23893256763001425,0.11627906976744187,0.8320129550376998,0.6586586586586587,0
31,712991808,0.5744680851063829,1,2,5,1,2,0,0.813953488372093,2,5,1,0.23720855323809786,0.6714342471195868,0.5546570893681667,0.6240683371017762,0.372631600774334,0.12403100775193798,0.6563553682366221,0.6906906906906907,0
32,709029408,0.31914893617021267,1,4,2,1,2,0,0.5348837209302325,4,1,2,0.6816607640985417,1.0,0.7964745252094888,0.7128080935812587,0.3713051368834739,0.10852713178294573,0.669956878188591,0.2822822822822823,0
33,788658483,0.5744680851063829,0,2,0,1,4,0,0.5813953488372093,5,2,3,0.2689965404293808,0.591974572904251,0.6011722054822041,0.7177467768499836,0.3351476171558274,0.13953488372093023,0.5188944795265651,0.5625625625625627,0
34,787937058,0.6808510638297872,1,0,2,1,3,0,0.8372093023255814,6,2,2,0.7740455681852687,0.6738180373460468,0.8590436408063964,0.3908732100728625,0.3077085028702178,0.10852713178294573,0.43845815917891806,0.13513513513513514,0
